GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US89010,89010,ZCTA5 89010,512,130,421,112,7,16,14,20,0,11,0,11,63,61,7,10,0,11,7,10
8600000US89019,89019,ZCTA5 89019,1748,553,1528,540,64,40,2,4,77,56,0,11,62,88,15,27,13,27,2,3
8600000US89046,89046,ZCTA5 89046,354,99,343,98,0,12,0,12,0,12,0,12,11,11,0,12,0,12,0,12
8600000US89060,89060,ZCTA5 89060,9373,838,7201,613,563,226,27,29,59,51,72,65,1240,476,211,107,0,16,211,107
8600000US89061,89061,ZCTA5 89061,5360,584,4314,570,121,120,72,75,336,233,51,70,280,269,186,167,18,28,168,162
8600000US89439,89439,ZCTA5 89439,1465,232,1432,236,6,8,13,23,0,11,0,11,0,11,14,21,0,11,14,21
8600000US90001,90001,ZCTA5 90001,58738,1665,19012,1502,5383,674,444,473,132,81,12,18,33065,1770,690,243,418,204,272,132
8600000US90002,90002,ZCTA5 90002,52856,1953,19918,1582,11401,1073,465,318,299,154,55,43,20177,1678,541,191,151,84,390,164
8600000US90003,90003,ZCTA5 90003,70490,2162,20983,1960,15778,1389,521,288,201,167,68,76,32218,2183,721,254,281,178,440,178
8600000US90004,90004,ZCTA5 90004,62733,1587,23687,1523,2544,377,107,64,15730,735,374,275,18339,1753,1952,412,586,212,1366,343
8600000US90005,90005,ZCTA5 90005,39562,1323,8045,817,2464,418,328,162,13777,925,77,74,13960,1045,911,205,231,113,680,189
8600000US90006,90006,ZCTA5 90006,62329,1575,16303,1292,2090,283,692,307,11315,703,99,134,30595,1651,1235,282,593,233,642,173
8600000US90007,90007,ZCTA5 90007,41221,1363,12299,836,4519,602,255,90,8337,719,141,122,14408,1104,1262,304,363,175,899,233
8600000US90008,90008,ZCTA5 90008,32359,1504,5944,1053,21592,985,96,88,1049,331,54,64,2377,695,1247,516,169,92,1078,506
8600000US90010,90010,ZCTA5 90010,3759,492,867,305,180,131,2,6,2489,391,0,12,124,83,97,82,15,19,82,77
8600000US90011,90011,ZCTA5 90011,108051,2091,44204,2223,9040,995,1030,442,619,194,218,269,51642,2155,1298,405,735,349,563,182
8600000US90012,90012,ZCTA5 90012,33783,1094,9657,673,4299,435,292,156,13657,833,94,58,4707,749,1077,220,332,156,745,177
8600000US90013,90013,ZCTA5 90013,11957,890,4267,524,3676,507,143,114,2002,297,30,45,957,327,882,256,138,101,744,223
8600000US90014,90014,ZCTA5 90014,7408,708,3800,545,1305,434,59,61,1196,212,13,30,565,212,470,190,116,103,354,157
8600000US90015,90015,ZCTA5 90015,20187,1013,6746,759,1368,332,133,113,3012,508,21,22,8500,932,407,157,184,125,223,97
8600000US90016,90016,ZCTA5 90016,46303,1587,18165,1275,15266,1001,282,189,1785,333,0,26,9302,1151,1503,341,531,273,972,214
8600000US90017,90017,ZCTA5 90017,26390,967,9771,894,1415,257,399,222,4103,539,137,164,9772,877,793,255,256,118,537,250
8600000US90018,90018,ZCTA5 90018,52287,1479,10138,1108,16300,1094,511,372,2209,420,90,105,21727,1613,1312,361,424,143,888,300
8600000US90019,90019,ZCTA5 90019,67415,1520,22307,1909,12763,972,711,463,10992,831,79,82,18175,1805,2388,448,653,205,1735,366
